epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.4045333338994533,0.5325406428240239,0.06573158300171296,0.5583074221387505,0.9656000047922134,0.05207713480107486,0.05718841880559921,0.07449499428272248
1,0.9572833372155826,0.04901396524781982,0.051210563369095324,0.06908850566794475,0.9847000068426133,0.026675915974192322,0.05419164136052132,0.04791903903707862
2,0.9703833419084549,0.03302547470976909,0.04701667508110404,0.051456010735904174,0.9856000059843063,0.02243520438671112,0.05147075746208429,0.04261174090206623
3,0.9749666766325633,0.027585320372600107,0.04286408045639594,0.044388039552917084,0.9853000062704086,0.022235916717909275,0.04923723347485066,0.04153691159561276
4,0.9788666776816051,0.02368127989505107,0.04030686260511478,0.03948156971794863,0.982900008559227,0.033906702036038044,0.04748483758419752,0.05252075780183077
5,0.980716677804788,0.02128432958619669,0.03838015399252375,0.03632934954948723,0.9889000082015991,0.016875982102937996,0.04590688746422529,0.03487148128449917
6,0.9823166780670484,0.01930574267792205,0.036655381315698225,0.03367465175688267,0.9883000063896179,0.017741561767179517,0.04402363643050194,0.0349988267198205
7,0.9831000113487244,0.018240682768325012,0.03501913653376202,0.03196818400795261,0.9908000057935715,0.0145298604038544,0.042055970653891564,0.031015800572931768
8,0.9844333446025848,0.017005507746168103,0.033801506127541264,0.03025569784765442,0.9864000082015991,0.019728041416965426,0.04111433263868094,0.03584485927596688
9,0.9851833434899648,0.015962268610019238,0.032770016317566236,0.028808114744412402,0.9891000068187714,0.01731364377308637,0.03995993088930845,0.0329779365286231
10,0.9866333431005478,0.014826420029082025,0.031873290988927085,0.02732074975812187,0.9906000065803527,0.013108161287382245,0.038833436481654646,0.02833086796104908
11,0.9869166761636734,0.014244374096936857,0.03106626253264646,0.02642234872560948,0.9890000075101852,0.013966759333852679,0.038188868295401336,0.02893679534085095
12,0.9876833431919416,0.013431292872022216,0.03035265072248876,0.025329531664028765,0.9906000065803527,0.013125239089131355,0.037461844831705095,0.027810282045975326
13,0.9885000083843867,0.012819330652516024,0.02962857916019857,0.024433733373880388,0.9906000071763992,0.013448783096391708,0.03666803430765867,0.027822652170434593
14,0.988783342440923,0.012285930713599858,0.029027867832531532,0.023664854626792173,0.9906000065803527,0.011436503796139731,0.036036490947008136,0.025562807833775878
15,0.9894333414236705,0.011861091877023378,0.02848064205298821,0.023025503262567023,0.9912000060081482,0.012671959047438577,0.03529816221445799,0.026508838376030325
16,0.989433342119058,0.011373470942101753,0.027995349240178862,0.022347647583422562,0.9927000051736832,0.010463769949856214,0.03470763497054577,0.02406916245818138
17,0.9903666752576828,0.010859936277847737,0.027600092847521105,0.021679172410319247,0.9918000066280365,0.012227258794009686,0.03430655358359218,0.025675427401438355
18,0.9904500083128611,0.010455093582859263,0.02721116319609185,0.021121869270379345,0.9922000062465668,0.011106460262089968,0.03396883798763156,0.02442224451340735
19,0.9913666743040085,0.009957648304989561,0.026856866761421162,0.020485539818182588,0.9920000070333481,0.009200116450665518,0.0337470836378634,0.02242897292599082
20,0.9911666742960612,0.009853520311880857,0.02658379546677073,0.020274367877282203,0.991500004529953,0.010706834278535098,0.03330242684110999,0.023761385241523384
21,0.9913833407560985,0.00945577587156246,0.02622007572092116,0.019734045287283758,0.9930000060796738,0.01037088017212227,0.033091867621988055,0.023342891996726393
22,0.9915333406130473,0.00946295765878555,0.025944119170308113,0.019633052094529074,0.9922000056505204,0.01014920221932698,0.032698944844305515,0.022967188246548177
23,0.9921500067909559,0.008914900821982883,0.025699192419027288,0.018988983953992525,0.9932000058889389,0.009520718898274936,0.03237577479332685,0.02221202226355672
24,0.9923500068982443,0.008754172041274917,0.025515729626640678,0.018756337797579667,0.9931000053882599,0.009154387634480373,0.03220028396695852,0.021776898819953202
25,0.9925333400567372,0.008426246336312034,0.025283485318844518,0.01833737232411901,0.9927000051736832,0.010135851997765712,0.032386165112257004,0.022831228254362942
26,0.9928166734178862,0.008324555717990734,0.02518283832197388,0.018196228112404546,0.9938000059127807,0.009107597123365849,0.03201880533248186,0.021658968506380917
27,0.992816673219204,0.008249193245040563,0.02503785810743769,0.018064033385987083,0.9938000059127807,0.008971610068983863,0.03179021375253797,0.02143337364308536
28,0.9928000063697497,0.00813005359309803,0.024950473324085277,0.017910638856701553,0.993500006198883,0.009211758313467726,0.031818233728408814,0.021684505715966224
29,0.9932833397388459,0.007870221747337685,0.024825985729694366,0.017602007893535,0.9934000062942505,0.008870582765666768,0.03158496582880616,0.02125188898295164
30,0.9932500060399373,0.008027612377773038,0.024747919207438827,0.017728796475566924,0.9939000058174133,0.008328079304192215,0.03159353815019131,0.020712746027857065
31,0.9932166729370753,0.007842493329080753,0.024647693963100514,0.017504389126164217,0.9931000047922134,0.009241045400849544,0.031544896066188814,0.021606644401326775
32,0.9937333391110102,0.007454580497772743,0.024574541393667458,0.017087800501224895,0.9930000060796738,0.008978957472136244,0.0314487718231976,0.02130687564611435
